year,pop,total_crimes,total_penal_crimes,total_life_and_health,murder,assault,total_sexual_offence,rape,total_theft,burglary_no_guns,burglary_home,vehicle_theft,theft_out_of_vehicle,theft_shop,theft_aggravated,fraud,criminal_damage,total_other_penal_crimes,narcotics,driving_under_influence
1950,70,2773,2297,120,1,105,40,5,1571,294,0,0,0,0,3,208,72,475,0,49
1951,71,3272,2743,124,1,109,45,6,1892,340,0,0,0,0,3,309,73,528,0,66
1952,72,3149,2598,119,1,103,39,4,1839,371,0,0,0,0,3,217,81,551,0,77
1953,72,2901,2681,118,1,105,44,5,1924,360,0,0,0,0,4,208,88,219,0,90
1954,72,3019,2783,125,1,107,41,5,1975,392,0,0,0,0,4,235,100,236,0,103
1955,73,3344,3090,135,1,118,44,5,2246,457,0,0,0,0,4,235,110,255,0,124
1956,73,3476,3204,132,1,116,38,5,2355,468,0,0,0,0,6,234,132,272,0,159
1957,74,3762,3508,132,1,116,36,5,2626,578,0,244,0,0,6,253,155,254,0,163
1958,74,4053,3781,127,1,113,40,6,2872,722,0,279,0,0,6,254,166,272,1,165
1959,75,4024,3725,124,1,110,47,6,2787,713,0,237,0,0,6,251,179,299,1,181
1960,75,3973,3685,131,1,116,54,7,2723,751,0,243,0,0,6,269,176,288,2,169
1961,75,4096,3736,131,1,116,53,7,2777,749,0,278,0,0,7,255,197,363,0,177
1962,76,4252,3875,128,1,115,48,7,2899,818,0,314,0,0,7,250,204,380,0,167
1963,76,4453,4049,132,1,118,49,7,3057,867,0,328,0,0,8,269,202,396,0,165
1964,77,4778,4372,137,1,124,51,8,3323,943,0,350,0,0,8,293,237,412,0,193
1965,78,5772,5065,166,3,150,51,8,3676,1037,98,395,713,123,12,429,296,707,9,212
1966,78,6036,5239,183,2,166,47,8,3719,1027,104,348,638,167,14,527,286,797,13,217
1967,79,6401,5537,188,2,172,49,8,3927,1083,108,383,637,204,13,546,313,864,51,228
1968,79,7150,6228,228,1,212,47,8,4230,1229,114,395,626,291,15,799,363,922,100,201
1969,80,7637,6009,240,1,222,42,8,4124,1126,116,382,572,254,16,678,374,1628,549,230
1970,81,8118,6969,246,1,227,41,9,4851,1331,136,400,691,287,19,886,419,1150,196,211
1971,81,8796,7568,237,1,217,38,8,5603,1653,183,455,862,286,21,724,457,1228,223,230
1972,81,8502,7365,241,1,222,32,7,5530,1566,200,426,849,335,25,592,455,1137,234,223
1973,81,8047,6723,233,1,214,33,7,4873,1412,184,380,720,378,26,562,483,1324,258,242
1974,82,8259,6978,261,2,243,41,8,4958,1399,193,371,773,335,28,605,560,1280,231,256
1975,82,9203,7834,281,1,262,33,9,5698,1628,245,448,998,324,28,614,667,1369,257,264
1976,82,9704,8296,278,2,260,29,9,6121,1814,270,531,1199,332,33,652,667,1408,217,252
1977,83,10213,8665,305,2,285,33,10,6338,1874,269,538,1227,381,41,693,754,1548,251,268
1978,83,9696,8252,297,1,276,34,10,5997,1740,256,468,1151,378,42,625,740,1444,249,274
1979,83,9829,8409,301,2,279,34,11,5903,1678,213,411,1167,378,37,853,733,1420,272,261
1980,83,11160,9148,319,2,297,37,11,6222,1674,245,412,1209,422,41,1216,710,2012,715,261
1981,83,11244,9139,315,2,292,38,10,6189,1639,240,393,1129,450,39,1169,755,2105,812,253
1982,83,11813,9674,363,2,339,47,11,6540,1661,253,429,1217,523,42,1134,820,2140,823,255
1983,83,11513,9597,378,1,351,43,11,6521,1668,286,419,1212,545,42,1059,816,1917,576,270
1984,83,11785,10137,396,1,369,46,12,6931,1699,295,460,1353,606,44,1092,863,1648,458,263
1985,84,12184,10701,410,2,383,49,12,7406,1730,291,538,1498,731,46,1133,885,1483,430,237
1986,84,13069,11455,417,2,391,49,12,8004,1812,278,661,1816,741,45,1171,956,1614,454,276
1987,84,12995,11295,440,2,413,55,13,7742,1692,242,695,1866,696,47,1200,977,1700,498,272
1988,85,12841,11290,475,2,443,62,16,7632,1548,238,714,1763,699,49,1210,1014,1551,343,288
1989,85,13426,11773,495,2,465,65,17,8076,1609,250,810,1819,702,61,1081,1090,1652,394,307
1990,86,14188,12529,502,1,474,61,16,8618,1793,261,879,1835,751,69,1242,1129,1659,309,297
1991,86,13872,12093,495,2,468,64,17,8480,1803,255,816,1665,805,71,940,1085,1779,356,302
1992,87,13750,12100,548,2,520,81,19,8419,1794,248,748,1561,762,72,829,1084,1650,336,283
1993,87,13622,11790,612,2,582,93,25,7998,1780,231,699,1398,701,70,737,1082,1832,466,278
1994,88,12619,11067,638,2,609,87,21,7410,1602,200,616,1274,632,60,566,1141,1552,349,238
1995,88,12967,11523,647,2,615,88,19,7749,1613,189,658,1412,664,65,576,1212,1444,322,193
1996,88,13289,11911,640,2,608,84,18,7866,1638,190,679,1513,700,66,778,1238,1378,349,170
1997,88,13518,12197,654,2,623,87,19,8350,1665,208,750,1710,746,75,501,1316,1287,343,153
1998,89,13339,12062,674,2,642,94,22,8137,1559,198,734,1715,702,76,488,1362,1222,357,137
1999,89,13476,12053,712,2,676,102,24,8064,1453,190,742,1750,637,97,514,1272,1359,412,157
2000,89,13678,12091,696,2,662,98,23,7924,1469,198,711,1796,592,101,568,1391,1519,365,196
2001,89,13350,11741,700,2,667,103,23,7484,1324,170,674,1606,581,96,474,1513,1536,364,202
2002,89,13811,12067,726,2,689,109,24,7680,1350,185,686,1670,601,100,486,1570,1664,425,219
2003,90,13986,12290,768,2,726,113,29,7451,1367,193,592,1596,660,96,734,1685,1696,455,232
2004,90,13857,12110,785,2,744,116,29,7233,1324,195,523,1512,685,95,640,1634,1748,500,246
2005,90,13725,11927,844,3,803,129,42,6965,1251,184,466,1425,645,104,638,1631,1799,573,257
2006,91,13441,11410,886,3,845,133,46,6394,1090,165,401,1176,617,94,631,1621,2031,734,300
2007,92,14226,12040,945,3,896,137,52,6278,1053,184,349,1036,638,94,846,1950,2185,779,320
2008,93,14886,12376,963,2,914,155,59,6045,1016,196,302,864,689,96,1063,2108,2510,845,336
2009,93,15048,12544,976,2,924,168,64,5927,1023,219,254,788,739,102,1162,2167,2504,859,321
2010,94,14555,11962,988,3,933,182,63,5612,982,210,226,730,682,98,1218,1754,2592,933,315
2011,95,14935,12224,1001,2,943,180,69,5763,992,234,212,704,660,102,1216,1768,2711,943,313
2012,96,14678,12101,970,2,911,177,66,5591,919,223,169,652,633,96,1351,1594,2576,990,285
2013,96,14536,12016,891,3,833,184,62,5527,884,218,158,541,507,87,1538,1463,2520,997,278
2014,97,14812,12241,918,3,855,209,69,5542,909,230,146,539,502,86,1601,1551,2571,978,270
2015,99,15261,12736,927,3,864,183,60,5376,912,231,134,550,512,86,1886,1979,2525,955,265
2016,100,15109,12609,950,3,886,203,67,5038,888,220,122,514,488,86,2052,1947,2500,909,247
2017,101,14969,12342,900,4,832,217,73,4806,887,223,120,511,451,85,2062,1788,2627,993,253
2018,102,15157,12425,883,4,813,220,78,4350,760,166,110,452,413,85,2544,1851,2732,1041,253
2019,103,14993,12203,885,4,819,225,83,4221,729,142,100,434,420,87,2369,1981,2790,1095,258
2020,104,15096,12144,868,4,802,241,90,4061,780,141,97,477,410,85,2103,2251,2952,1195,247